1192;8;7994;PASSO DAREIA;AV ASSIS BRASIL, 1993;PROXIMO AO VIADUTO  UBIRICI;0;ED. ESPERANÇA;490;190;39,85;NOR;C;372;46;;91010005;0;0;-30.012063980102;-51.167663574218;22/02/2022;11/02/2020;0;N;;N;0
2230;8;7994;PETROPOLIS;R PROFESSOR LANGENDONCK, 37;PROX. EÇA DE QUEIROZ;0;;480;327,04;44,24;NOR;C;1293;21;;90630060;0;0;-30.043432235717;-51.189197540283;6/10/2022;0;0;N;;N;0
2159;8;7994;PETROPOLIS;R PROFESSOR LANGENDONCK, 37;EM FRENTE A PARADA JOÃO ABBOTT;0;CENTRO PROFISSIONAL LANGENDOCK;480;339,71;44,57;NOR;C;1222;21;;90630060;0;0;-30.044517517089;-51.189498901367;21/11/2022;0;0;N;;N;0
2266;8;7994;RIO BRANCO;R FELIPE CAMARAO, 751;PROXIMO A AV. OSVALDO ARANHA;0;;700;336,06;0;NOR;C;1329;33;;90035141;0;33;-30.035959243774;-51.209892272949;19/05/2020;0;0;N;;S;0
2412;1;7994;RUBEM BERTA;R PROFESSORA AMY HERVE RAMIRES, 120;;1;EDIFICO JANÚARIA;500;157,26;25,77;NOR;R;1475;53;;91250240;0;0;-30.019632339477;-51.107322692871;6/04/2022;0;0;N;;N;0
1142;1;7994;RUBEM BERTA;R GOLDA MEIR, 373;PROXIMO A BALTAZAR OLIVEIRA GARCIA;1;ED.PRAIA DA BOA VIAGEM;650;188;16,2;NOR;R;356;50;;91240080;0;0;-30.016061782836;-51.113265991210;10/01/2023;8/06/2015;0;N;;N;0
1349;10;7994;SAO GERALDO;AV FARRAPOS, 2399;AV SÃO PEDRO;0;RAMAL:93513 (7 ECON.)C/SUELI FONE:334652;780;0;31,4;NOR;C;444;38;;90220006;0;0;;;12/04/2021;0;0;N;;N;0
2306;10;7994;SAO GERALDO;R MOURA AZEVEDO, 600;QUASE ESQUINA FARRAPOS;0;;5500;525;374;NOR;C;1369;0;;90230150;0;229;;;9/10/2018;27/08/2019;0;N;;N;0
300;12;7994;SAO GERALDO;AV PARA, 1111;;2;RAMAL: 91898;4190;0;467,99;NOR;C;100;177;;90240592;2;0;;;17/01/2022;0;4800;N;;N;0
2421;4;7994;SAO GERALDO;AV PARA, 1111;;2;;4190;0;467,99;NOR;R;1484;177;;90240592;2;0;-30.010353088378;-51.202613830566;0;0;0;N;;N;0
894;1;7994;SAO GERALDO;AV PARANA, 2116;PROXIMO AV SÃO PEDRO.;2;;1200;190;9,49;NOR;R;269;78;;90240602;0;0;-30.012891769409;-51.196918487548;12/01/2023;0;0;N;;N;0
677;1;7994;SAO GERALDO;AV PARANA, 2116;ENTRE SAO PEDRO E BUARQUE DE MACEDO;3;;1200;190;62,19;NOR;R;211;93;;90240602;0;0;-30.012889862060;-51.196922302246;4/11/2022;14/11/2019;0;N;;S;0
315;15;7994;SAO GERALDO;R PARQUE 213;;0;RAMAL: 70084;2300;0;532,54;NOR;C;105;290;;90230200;0;0;-30.012916564941;-51.208938598632;22/07/2022;0;0;N;;N;0
1749;1;7994;SAO GERALDO;AV SAO PAULO, 281;ESQUINA COM AV. PÁTRIA;2;EDIF.JOÃO GUSTAVO;1100;138,26;11,63;NOR;R;812;62;;90230161;0;0;-30.005413055419;-51.203376770019;22/02/2021;0;0;N;;N;0
2147;8;7994;SAO GERALDO;AV PERNAMBUCO, 2653;PROXIMO A CRISTOVÃO COLOMBO;0;COND.EDIF.SENADOR;1000;444,09;123,27;NOR;C;1210;51;;90240000;0;51;-30.016298294067;-51.202190399169;24/04/2015;0;0;N;;N;0
1425;10;7994;SAO GERALDO;AV PRES F ROOSEVELT, 1265;PROXIMO A AV. SAO PEDRO;0;RAMAL: 77003;4600;0;524,63;NOR;C;493;259;;90230002;0;0;-30.010803222656;-51.204185485839;23/06/2016;0;0;N;;S;0
589;1;7994;SAO GERALDO;AV SAO PEDRO, 710;PRÓXIMA IGREJA SÃO GERALDO;3;PROP.CUIDA E PASSA VALOR;1200;80;81,46;NOR;R;187;125;;90230123;0;0;-30.010391235351;-51.202209472656;7/04/2021;11/01/2016;0;N;;N;0
1340;1;7994;SÃO GERALDO;AV PARANA, 1575;ESQUINA COM AV. PATRIA;1;;940;90;54,16;NOR;R;438;49;;90240601;0;69;-30.008211135864;-51.195495605468;2/06/2020;13/01/2022;0;N;;N;0
1157;1;7994;SAO JOAO;AV BENJAMIN CONSTANT, 926;PROXIMO A RUA MARCELO GAMA.;2;COND.EDIF.NAIR;1000;234,02;65,2;NOR;R;360;74;;90550001;0;0;-30.010206222534;-51.192741394043;21/12/2012;0;0;N;;N;0
2378;10;7994;SARANDI;AV ASSIS BRASIL, 4872;;0;;3500;0;306,87;NOR;C;1441;300;;91110000;0;0;-30.005495071411;-51.139328002929;22/04/2021;0;0;N;;N;0
1368;1;7994;TRISTEZA;R PEDRO DE OLIVEIRA BITTENCOURT, 181;PROX OTTO NIEMAYER E WENCESLAU ESCOBAR;3;EDIF.NILO SIQUEIRA;900;337,31;49,13;NOR;R;452;95;;91900230;0;0;;;20/10/2016;0;0;N;;N;0
2400;1;7994;VILA IPIRANGA;R SAPE, 302;;2;COND.EDIF.VIVENDA DO NORTE;1400;376,63;31,47;NOR;R;1463;73;;91350050;1;0;-30.017509460449;-51.160457611084;23/01/2023;0;0;N;;N;0
1888;10;7994;VILA JARDIM;AV SATURNINO DE BRITO, 1546;;0;;2900;0;163,03;NOR;C;951;101;;91320001;0;0;;;6/10/2022;0;0;N;;N;0
