193;PL;391;1236;6;AV SERTORIO 1290 / 2;1
193;PA;392;0;0;392;1
193;PL;392;1237;4;AV SERTORIO 1290/1310 BOX 4;1
193;PA;869;0;0;869;4
193;PL;869;2074;2;AV SERTORIO 1290 / 1310 BOX 03;4
199;PC;0;0;0;199;0
199;PA;6;0;0;6;1
199;PL;6;6;5;R ALMIRANTE GONCALVES 127 / 301;1
199;PA;108;0;0;108;4
199;PL;108;333;5;AV PIAUI 15 / 202;4
199;PA;109;0;0;109;1
199;PL;109;334;2;R PIAUI 108 / 01;1
199;PA;110;0;0;110;5
199;PL;110;335;2;R PIAUI 108 / 02;5
199;PA;111;0;0;111;1
199;PL;111;336;2;R PIAUI 108 / 03;1
199;PA;112;0;0;112;1
199;PL;112;337;6;R PIAUI 108 / 04 C/ BOXE;1
203;PC;0;0;0;203;0
203;PA;384;0;0;384;1
203;PL;384;1223;2;R DOUTOR EDUARDO MARQUES JUNIOR 65 / 402  GAR.70 BL. F;1
203;PA;568;0;0;568;5
203;PL;568;1508;2;R SYLVIO SANSON 212;5
203;PA;755;0;0;755;1
203;PL;755;1142;5;R GOLDA MEIR 373 / 408 BLOCO 7;1
203;PL;755;2412;1;R PROFESSORA AMY HERVE RAMIRES 120 / 316 BL C;19
203;PA;1020;0;0;1020;12
203;PL;1020;2338;0;R TENENTE ARY TARRAGO 2895 / 01;12
203;PA;1021;0;0;1021;12
203;PL;1021;2339;0;R TENENTE ARY TARRAGO 2895 / 02;12
208;PC;0;0;0;208;0
208;PA;233;0;0;233;1
208;PL;233;771;3;R MOSTARDEIRO 992 / 9;1
208;PA;234;0;0;234;4
208;PL;234;772;2;R MOSTARDEIRO 996 / SUB-SOLO;4
208;PA;267;0;0;267;1
208;PL;267;890;3;R QUINTINO BOCAIUVA 1146 / 8;1
208;PA;373;0;0;373;14
208;PL;373;1198;5;R MOSTARDEIRO 974;14
208;PA;409;0;0;409;1
208;PL;409;1267;1;R MOSTARDEIRO 992 / 996;1
208;PA;752;0;0;752;2
208;PL;752;1849;1;R MOSTARDEIRO 992 / 5;2
213;PC;0;0;0;213;0
213;PA;683;0;0;683;4
213;PL;683;1738;5;R AFONSO TAUNAY 115 / 202  BOXE 12;4
215;PC;0;0;0;215;0
215;PA;316;0;0;316;1
215;PL;316;1030;8;R MARCELO GAMA 17 / 15;1
215;PA;320;0;0;320;1
215;PL;320;1038;6;R MARCELO GAMA 17 / 32;1
224;PC;0;0;0;224;0
224;PA;421;0;0;421;1
224;PL;421;1319;1;R SANTANA 607/16;1
226;PC;0;0;0;226;0
226;PA;32;0;0;32;1
226;PL;32;62;2;R UMBU 229;1
227;PC;0;0;0;227;0
227;PA;235;0;0;235;1
227;PL;235;779;8;R PORTUGUESA 111 / 203 BOXE 08;1
227;PA;240;0;0;240;4
227;PL;240;795;4;R SAO LUIS 353 / 202;4
227;PA;250;0;0;250;1
227;PL;250;829;1;AV DO FORTE 490;1
232;PC;0;0;0;232;0
232;LC;0;240;7;AV GUIDO MONDIM 501 / ALTOS E 499 TERREO;4
232;LC;0;816;3;R GUIDO MONDIN 499 TERREO;1
232;PA;102;0;0;102;4
232;PL;102;313;9;R DO PARQUE 201;4
232;PA;103;0;0;103;1
232;PL;103;314;2;R PARQUE 209;1
232;PA;104;0;0;104;1
232;PL;104;315;2;R PARQUE 213;1
232;PA;206;0;0;206;1
232;PL;206;672;1;R PARQUE 185;1
232;PA;207;0;0;207;1
232;PL;207;673;4;R PARQUE 189;1
232;PA;280;0;0;280;1
232;PL;280;924;1;AV CAIRU 1301 / 03;1
232;PA;759;0;0;759;4
232;PL;759;1855;3;R DO PARQUE 183;4
232;PA;949;0;0;949;4
232;PL;949;2209;2;R DO PARQUE 183;4
236;PC;0;0;0;236;0
236;PA;414;0;0;414;0
255;PC;0;0;0;255;0
255;PA;209;0;0;209;4
255;PL;209;676;5;R PORTUGAL 1253 / 311 BOXE 25;4
255;PA;800;0;0;800;4
255;PL;800;1940;5;R MADRE ANA 377;4
262;PC;0;0;0;262;0
262;PA;55;0;0;55;1
262;PL;55;138;1;R DONA ALZIRA 101;1
264;PC;0;0;0;264;0
264;PA;244;0;0;244;1
264;PL;244;809;2;R VISCONDE DO RIO BRANCO 555;1
277;PC;0;0;0;277;0
277;PA;276;0;0;276;0
279;PC;0;0;0;279;0
279;PA;5;0;0;5;1
279;PL;5;5;3;R DOS ANDRADAS 1715 / 01 E 1711 SL 101;1
279;PA;15;0;0;15;1
279;PL;15;25;3;R ANDRADAS 1707;1
279;PA;92;0;0;92;1
279;PL;92;264;1;R ANDRADAS 1711 / 3;1
281;PC;0;0;0;281;0
281;PA;186;0;0;186;1
281;PL;186;589;6;AV SAO PEDRO 710 / 02;1
281;PL;186;2425;1;AV SAO PEDRO 710 / 01;19
281;PA;187;0;0;187;4
281;PL;187;590;4;AV SAO PEDRO 710 / 03;4
281;PA;189;0;0;189;1
281;PL;189;598;4;AV SAO PEDRO 708 / LOJA;1
282;PC;0;0;0;282;0
282;PA;735;0;0;735;0
301;PC;0;0;0;301;0
301;PA;212;0;0;212;4
301;PL;212;679;7;AV PROTASIO ALVES 1121 / 04;4
302;PC;0;0;0;302;0
302;PA;5;0;0;5;1
302;PL;5;5;3;R DOS ANDRADAS 1715 / 01 E 1711 SL 101;1
302;PA;15;0;0;15;1
302;PL;15;25;3;R ANDRADAS 1707;1
302;PA;92;0;0;92;1
302;PL;92;264;1;R ANDRADAS 1711 / 3;1
307;PC;0;0;0;307;0
307;PA;248;0;0;248;1
307;PL;248;826;2;R DR FLORES 75 / 81 LJ;1
307;PL;248;905;2;R DR FLORES 77 / 85;1
307;PA;276;0;0;276;0
313;PC;0;0;0;313;0
313;PA;248;0;0;248;1
313;PL;248;826;2;R DR FLORES 75 / 81 LJ;1
313;PL;248;905;2;R DR FLORES 77 / 85;1
313;PA;276;0;0;276;0
314;PC;0;0;0;314;0
314;PA;518;0;0;518;0
321;PC;0;0;0;321;0
321;PA;319;0;0;319;1
321;PL;319;1037;5;AV BRASIL 1523 / 26;1
321;PA;406;0;0;406;1
321;PL;406;1260;2;R SANTOS DUMONT 577 / 506;1
321;PA;537;0;0;537;4
321;PL;537;1474;5;TV JAGUARAO 45 / 804 T.A BOX 29 E 97;4
357;PC;0;0;0;357;0
357;PA;721;0;0;721;4
357;PL;721;1801;6;AV SAO PEDRO 623;4
359;PC;0;0;0;359;0
359;PA;23;0;0;23;1
359;PL;23;42;1;AV ASSIS BRASIL 6706;1
359;PA;24;0;0;24;1
359;PL;24;43;1;AV ASSIS BRASIL 6710;1
359;PA;25;0;0;25;1
359;PL;25;44;1;AV ASSIS BRASIL 6714;1
359;PA;81;0;0;81;1
359;PL;81;202;4;TV FONTE DA SAUDE 78 / 01;1
359;PA;82;0;0;82;1
359;PL;82;203;5;TV FONTE DA SAUDE 78 / 03;1
359;PA;179;0;0;179;1
359;PL;179;556;1;TV FONTE DA SAUDE 78 / 02;1
359;PA;180;0;0;180;1
359;PL;180;557;2;TV FONTE DA SAUDE 78 / 04;1
359;PA;736;0;0;736;4
359;PL;736;1824;2;AV ASSIS BRASIL 6698 / ,Oliv.L27 e 23Parte1;4
359;PA;740;0;0;740;4
359;PL;740;1833;1;AV ASSIS BRASIL 6706 / ,6710/6714-3sl.ALTOS;4
361;PC;0;0;0;361;0
361;PA;23;0;0;23;1
361;PL;23;42;1;AV ASSIS BRASIL 6706;1
361;PA;24;0;0;24;1
361;PL;24;43;1;AV ASSIS BRASIL 6710;1
361;PA;25;0;0;25;1
361;PL;25;44;1;AV ASSIS BRASIL 6714;1
361;PA;736;0;0;736;4
361;PL;736;1824;2;AV ASSIS BRASIL 6698 / ,Oliv.L27 e 23Parte1;4
361;PA;740;0;0;740;4
361;PL;740;1833;1;AV ASSIS BRASIL 6706 / ,6710/6714-3sl.ALTOS;4
362;PC;0;0;0;362;0
362;PA;23;0;0;23;1
362;PL;23;42;1;AV ASSIS BRASIL 6706;1
362;PA;24;0;0;24;1
362;PL;24;43;1;AV ASSIS BRASIL 6710;1
362;PA;25;0;0;25;1
362;PL;25;44;1;AV ASSIS BRASIL 6714;1
362;PA;736;0;0;736;4
362;PL;736;1824;2;AV ASSIS BRASIL 6698 / ,Oliv.L27 e 23Parte1;4
362;PA;740;0;0;740;4
362;PL;740;1833;1;AV ASSIS BRASIL 6706 / ,6710/6714-3sl.ALTOS;4
363;PC;0;0;0;363;0
363;PA;219;0;0;219;1
363;PL;219;699;1;R DR TIMOTEO 135 / 139;1
363;PA;773;0;0;773;4
363;PL;773;1885;5;AV CRISTOVAO COLOMBO 1681;4
365;PC;0;0;0;365;0
365;PA;423;0;0;423;4
365;PL;423;1323;8;R CARLOS VON KOSERITZ 15 / 26;4
366;PC;0;0;0;366;0
366;PA;302;0;0;302;1
366;PL;302;983;3;R DES ESPIRID.L.MEDEIROS 71;1
366;PL;302;2380;0;AV AMAZONAS 746;19
366;PL;302;2407;0;R JOAO CAETANO 144 / 201;19
366;PA;667;0;0;667;4
366;PL;667;1712;4;R JOSE ANTONIO ARANHA 160;4
369;PC;0;0;0;369;0
369;PA;125;0;0;125;1
369;PL;125;359;7;AV PROTASIO ALVES 3944 / 01;1
369;PA;126;0;0;126;1
369;PL;126;360;2;AV PROTASIO ALVES 3950 / 02;1
369;PA;127;0;0;127;4
369;PL;127;361;4;AV PROTASIO ALVES 3956 / 03;4
369;PA;248;0;0;248;1
369;PL;248;826;2;R DR FLORES 75 / 81 LJ;1
369;PL;248;905;2;R DR FLORES 77 / 85;1
369;PA;311;0;0;311;1
369;PL;311;1006;3;R DOUTOR TIMOTEO 1050 / 1202 BOXES 30-31;1
369;PA;1009;0;0;1009;12
